"date","adjusted_close_us","adjusted_close_intl","wage_growth","inflation","bond_returns","short_term_debt_returns"
2009-12-01,73.7857,35.9094,22.36,217.347,5.26,0.05
2009-12-31,73.7857,35.9094,22.36,217.347,5.26,0.05
2010-01-01,73.7857,35.9094,22.41,217.488,5.26,0.06
2010-01-29,68.9888,34.0906,22.41,217.488,5.26,0.06
2010-02-01,68.9888,34.0906,22.45,217.281,5.35,0.11
2010-02-26,72.001,34.1815,22.45,217.281,5.35,0.11
2010-03-01,72.001,34.1815,22.46,217.353,5.27,0.15
2010-03-31,72.6182,36.3641,22.46,217.353,5.27,0.15
2010-04-01,72.6182,36.3641,22.49,217.403,5.29,0.16
2010-04-30,73.0429,35.3443,22.49,217.403,5.29,0.16
2010-05-01,73.0429,35.3443,22.53,217.29,4.96,0.16
2010-05-28,71.2972,31.3883,22.53,217.29,4.96,0.16
2010-06-01,71.2972,31.3883,22.53,217.199,4.88,0.12
2010-06-30,70.2841,30.7373,22.53,217.199,4.88,0.12
2010-07-01,70.2841,30.7373,22.59,217.605,4.72,0.16
2010-07-30,73.0845,34.306,22.59,217.605,4.72,0.16
2010-08-01,73.0845,34.306,22.62,217.923,4.49,0.16
2010-08-31,70.4349,33.0041,22.62,217.923,4.49,0.16
2010-09-01,70.4349,33.0041,22.67,218.275,4.53,0.15
2010-09-30,76.733,36.2953,22.67,218.275,4.53,0.15
2010-10-01,76.733,36.2953,22.74,219.035,4.68,0.13
2010-10-29,82.1445,37.6765,22.74,219.035,4.68,0.13
2010-11-01,82.1445,37.6765,22.73,219.59,4.87,0.14
2010-11-30,81.2795,35.8591,22.73,219.59,4.87,0.14
2010-12-01,81.2795,35.8591,22.76,220.472,5.02,0.14
2010-12-31,84.3247,38.8354,22.76,220.472,5.02,0.14
2011-01-01,84.3247,38.8354,22.86,221.187,5.04,0.15
2011-01-31,93.0812,39.6492,22.86,221.187,5.04,0.15
2011-02-01,93.0812,39.6492,22.87,221.898,5.22,0.13
2011-02-28,93.3764,41.0567,22.87,221.898,5.22,0.13
2011-03-01,93.3764,41.0567,22.87,223.046,5.13,0.1
2011-03-31,94.0628,40.0761,22.87,223.046,5.13,0.1
2011-04-01,94.0628,40.0761,22.91,224.093,5.16,0.06
2011-04-29,98.3948,42.3307,22.91,224.093,5.16,0.06
2011-05-01,98.3948,42.3307,22.98,224.806,4.96,0.04
2011-05-31,97.8757,41.3969,22.98,224.806,4.96,0.04
2011-06-01,97.8757,41.3969,23.01,224.806,4.99,0.04
2011-06-30,99.3937,40.9033,23.01,224.806,4.99,0.04
2011-07-01,99.3937,40.9033,23.1,225.395,4.93,0.04
2011-07-29,105.3614,39.9307,23.1,225.395,4.93,0.04
2011-08-01,105.3614,39.9307,23.07,226.106,4.37,0.02
2011-08-31,100.0517,36.4348,23.07,226.106,4.37,0.02
2011-09-01,100.0517,36.4348,23.12,226.597,4.09,0.01
2011-09-30,101.7744,32.4968,23.12,226.597,4.09,0.01
2011-10-01,101.7744,32.4968,23.2,226.75,3.98,0.02
2011-10-31,107.4548,35.6254,23.2,226.75,3.98,0.02
2011-11-01,107.4548,35.6254,23.19,227.169,3.87,0.01
2011-11-30,109.8543,34.8501,23.19,227.169,3.87,0.01
2011-12-01,109.8543,34.8501,23.22,227.223,3.93,0.01
2011-12-30,107.4469,34.0785,23.22,227.223,3.93,0.01
2012-01-01,107.4469,34.0785,23.25,227.842,3.85,0.03
2012-01-31,112.5423,35.8743,23.25,227.842,3.85,0.03
2012-02-01,112.5423,35.8743,23.28,228.329,3.85,0.09
2012-02-29,115.4024,37.6082,23.28,228.329,3.85,0.09
2012-03-01,115.4024,37.6082,23.36,228.807,3.99,0.08
2012-03-30,122.3947,37.7664,23.36,228.807,3.99,0.08
2012-04-01,122.3947,37.7664,23.39,229.187,3.96,0.08
2012-04-30,121.4737,36.982,23.39,229.187,3.96,0.08
2012-05-01,121.4737,36.982,23.4,228.713,3.8,0.09
2012-05-31,113.6331,32.8607,23.4,228.713,3.8,0.09
2012-06-01,113.6331,32.8607,23.46,228.524,3.64,0.09
2012-06-29,115.2118,35.1968,23.46,228.524,3.64,0.09
2012-07-01,115.2118,35.1968,23.5,228.59,3.4,0.1
2012-07-31,115.4474,35.225,23.5,228.59,3.4,0.1
2012-08-01,115.4474,35.225,23.48,229.918,3.48,0.1
2012-08-31,115.272,36.3522,23.48,229.918,3.48,0.1
2012-09-01,115.272,36.3522,23.57,231.015,3.49,0.11
2012-09-28,122.7261,37.3385,23.57,231.015,3.49,0.11
2012-10-01,122.7261,37.3385,23.56,231.638,3.47,0.1
2012-10-31,115.0827,37.7436,23.56,231.638,3.47,0.1
2012-11-01,115.0827,37.7436,23.63,231.249,3.5,0.09
2012-11-30,112.9442,38.7968,23.63,231.249,3.5,0.09
2012-12-01,112.9442,38.7968,23.73,231.221,3.65,0.07
2012-12-31,113.8236,40.4917,23.73,231.221,3.65,0.07
2013-01-01,113.8236,40.4917,23.75,231.679,3.8,0.07
2013-01-31,120.6691,42.0015,23.75,231.679,3.8,0.07
2013-02-01,120.6691,42.0015,23.78,232.937,3.9,0.1
2013-02-28,119.8426,41.4567,23.78,232.937,3.9,0.1
2013-03-01,119.8426,41.4567,23.8,232.282,3.93,0.09
2013-03-28,127.2839,42.0015,23.8,232.282,3.93,0.09
2013-04-01,127.2839,42.0015,23.87,231.797,3.73,0.06
2013-04-30,120.863,44.1094,23.87,231.797,3.73,0.06
2013-05-01,120.863,44.1094,23.89,231.893,3.89,0.04
2013-05-31,124.7089,42.7777,23.89,231.893,3.89,0.04
2013-06-01,124.7089,42.7777,23.96,232.445,4.27,0.05
2013-06-28,114.5713,41.6235,23.96,232.445,4.27,0.05
2013-07-01,114.5713,41.6235,23.98,232.9,4.34,0.04
2013-07-31,116.9274,43.8391,23.98,232.9,4.34,0.04
2013-08-01,116.9274,43.8391,24.02,233.456,4.54,0.04
2013-08-30,109.8222,42.9819,24.02,233.456,4.54,0.04
2013-09-01,109.8222,42.9819,24.06,233.544,4.64,0.02
2013-09-30,111.5756,46.3459,24.06,233.544,4.64,0.02
2013-10-01,111.5756,46.3459,24.09,233.669,4.53,0.05
2013-10-31,107.9785,47.8562,24.09,233.669,4.53,0.05
2013-11-01,107.9785,47.8562,24.16,234.1,4.63,0.07
2013-11-29,108.8356,48.1177,24.16,234.1,4.63,0.07
2013-12-01,108.8356,48.1177,24.18,234.719,4.62,0.07
2013-12-31,113.6148,49.1544,24.18,234.719,4.62,0.07
2014-01-01,113.6148,49.1544,24.23,235.288,4.49,0.04
2014-01-31,107.0185,46.6012,24.23,235.288,4.49,0.04
2014-02-01,107.0185,46.6012,24.33,235.547,4.45,0.05
2014-02-28,112.7711,49.4584,24.33,235.547,4.45,0.05
2014-03-01,112.7711,49.4584,24.32,236.028,4.38,0.05
2014-03-31,117.229,49.2313,24.32,236.028,4.38,0.05
2014-04-01,117.229,49.2313,24.34,236.468,4.24,0.03
2014-04-30,119.6529,50.0518,24.34,236.468,4.24,0.03
2014-05-01,119.6529,50.0518,24.4,236.918,4.16,0.03
2014-05-30,112.9302,50.8503,24.4,236.918,4.16,0.03
2014-06-01,112.9302,50.8503,24.46,237.231,4.25,0.04
2014-06-30,111.0374,51.3191,24.46,237.231,4.25,0.04
2014-07-01,111.0374,51.3191,24.48,237.498,4.16,0.03
2014-07-31,117.4079,49.983,24.48,237.498,4.16,0.03
2014-08-01,117.4079,49.983,24.54,237.46,4.08,0.03
2014-08-29,118.4906,50.0731,24.54,237.46,4.08,0.03
2014-09-01,118.4906,50.0731,24.55,237.477,4.11,0.02
2014-09-30,116.9686,48.129,24.55,237.477,4.11,0.02
2014-10-01,116.9686,48.129,24.58,237.43,3.92,0.02
2014-10-31,101.2993,48.0014,24.58,237.43,3.92,0.02
2014-11-01,101.2993,48.0014,24.66,236.983,3.92,0.02
2014-11-28,100.606,48.0315,24.66,236.983,3.92,0.02
2014-12-01,100.606,48.0315,24.62,236.252,3.79,0.03
2014-12-31,99.5328,46.1085,24.62,236.252,3.79,0.03
2015-01-01,99.5328,46.1085,24.75,234.747,3.46,0.03
2015-01-30,95.1095,46.3965,24.75,234.747,3.46,0.03
2015-02-01,95.1095,46.3965,24.79,235.342,3.61,0.02
2015-02-27,101.1685,49.337,24.79,235.342,3.61,0.02
2015-03-01,101.1685,49.337,24.86,235.976,3.64,0.03
2015-03-31,100.2688,48.6322,24.86,235.976,3.64,0.03
2015-04-01,100.2688,48.6322,24.89,236.222,3.52,0.02
2015-04-30,107.0097,50.4056,24.89,236.222,3.52,0.02
2015-05-01,107.0097,50.4056,24.97,237.001,3.98,0.02
2015-05-29,106.7953,50.5042,24.97,237.001,3.98,0.02
2015-06-01,106.7953,50.5042,24.97,237.657,4.19,0.02
2015-06-30,102.3951,48.9299,24.97,237.657,4.19,0.02
2015-07-01,102.3951,48.9299,25,238.034,4.15,0.03
2015-07-31,101.9733,49.9241,25,238.034,4.15,0.03
2015-08-01,101.9733,49.9241,25.09,238.033,4.04,0.07
2015-08-31,93.8716,46.2171,25.09,238.033,4.04,0.07
2015-09-01,93.8716,46.2171,25.11,237.498,4.07,0.02
2015-09-30,92.0181,44.1749,25.11,237.498,4.07,0.02
2015-10-01,92.0181,44.1749,25.19,237.733,3.95,0.02
2015-10-30,88.9142,47.0957,25.19,237.733,3.95,0.02
2015-11-01,88.9142,47.0957,25.25,238.017,4.06,0.12
2015-11-30,89.3275,46.7412,25.25,238.017,4.06,0.12
2015-12-01,89.3275,46.7412,25.24,237.761,3.97,0.23
2015-12-31,88.1742,45.6497,25.24,237.761,3.97,0.23
2016-01-01,88.1742,45.6497,25.38,237.652,4,0.26
2016-01-29,79.9539,43.1309,25.38,237.652,4,0.26
2016-02-01,79.9539,43.1309,25.38,237.336,3.96,0.31
2016-02-29,84.8114,41.6927,25.38,237.336,3.96,0.31
2016-03-01,84.8114,41.6927,25.45,238.08,3.82,0.29
2016-03-31,98.0286,44.4369,25.45,238.08,3.82,0.29
2016-04-01,98.0286,44.4369,25.53,238.992,3.62,0.23
2016-04-29,94.4622,45.4242,25.53,238.992,3.62,0.23
2016-05-01,94.4622,45.4242,25.58,239.557,3.65,0.27
2016-05-31,100.4567,45.3854,25.58,239.557,3.65,0.27
2016-06-01,100.4567,45.3854,25.62,240.222,3.5,0.27
2016-06-30,99.176,44.2877,25.62,240.222,3.5,0.27
2016-07-01,99.176,44.2877,25.69,240.101,3.28,0.3
2016-07-29,104.9522,46.0451,25.69,240.101,3.28,0.3
2016-08-01,104.9522,46.0451,25.72,240.545,3.32,0.3
2016-08-31,104.7122,46.295,25.72,240.545,3.32,0.3
2016-09-01,104.7122,46.295,25.77,241.176,3.41,0.29
2016-09-30,104.6925,46.9139,25.77,241.176,3.41,0.29
2016-10-01,104.6925,46.9139,25.89,241.741,3.51,0.33
2016-10-31,101.2917,45.8745,25.89,241.741,3.51,0.33
2016-11-01,101.2917,45.8745,25.9,242.026,3.86,0.45
2016-11-30,107.8781,45.0573,25.9,242.026,3.86,0.45
2016-12-01,107.8781,45.0573,25.92,242.637,4.06,0.51
2016-12-30,110.3852,46.2767,25.92,242.637,4.06,0.51
2017-01-01,110.3852,46.2767,26,243.618,3.92,0.51
2017-01-31,116.0578,47.7998,26,243.618,3.92,0.51
2017-02-01,116.0578,47.7998,26.07,244.006,3.95,0.52
2017-02-28,120.5326,48.3689,26.07,244.006,3.95,0.52
2017-03-01,120.5326,48.3689,26.11,243.892,4.01,0.74
2017-03-31,116.7253,49.932,26.11,243.892,4.01,0.74
2017-04-01,116.7253,49.932,26.17,244.193,3.87,0.8
2017-04-28,107.4417,51.1424,26.17,244.193,3.87,0.8
2017-05-01,107.4417,51.1424,26.21,244.004,3.85,0.89
2017-05-31,103.3101,52.9541,26.21,244.004,3.85,0.89
2017-06-01,103.3101,52.9541,26.26,244.163,3.68,0.98
2017-06-30,104.1223,53.1175,26.26,244.163,3.68,0.98
2017-07-01,104.1223,53.1175,26.36,244.243,3.7,1.07
2017-07-31,97.9222,54.5269,26.36,244.243,3.7,1.07
2017-08-01,97.9222,54.5269,26.38,245.183,3.63,1.01
2017-08-31,97.834,54.5024,26.38,245.183,3.63,1.01
2017-09-01,97.834,54.5024,26.49,246.435,3.63,1.03
2017-09-29,99.2363,55.7897,26.49,246.435,3.63,1.03
2017-10-01,99.2363,55.7897,26.49,246.626,3.6,1.07
2017-10-31,105.3787,56.7265,26.49,246.626,3.6,1.07
2017-11-01,105.3787,56.7265,26.53,247.284,3.57,1.23
2017-11-30,106.3682,57.1176,26.53,247.284,3.57,1.23
2017-12-01,106.3682,57.1176,26.61,247.805,3.51,1.32
2017-12-29,105.9882,57.8899,26.61,247.805,3.51,1.32
2018-01-01,105.9882,57.8899,26.73,248.859,3.55,1.41
2018-01-31,113.09,60.7963,26.73,248.859,3.55,1.41
2018-02-01,113.09,60.7963,26.75,249.529,3.82,1.57
2018-02-28,108.7473,57.857,26.75,249.529,3.82,1.57
2018-03-01,108.7473,57.857,26.86,249.577,3.87,1.7
2018-03-29,107.0724,57.3712,26.86,249.577,3.87,1.7
2018-04-01,107.0724,57.3712,26.91,250.227,3.85,1.76
2018-04-30,101.1615,58.2439,26.91,250.227,3.85,1.76
2018-05-01,101.1615,58.2439,26.98,250.792,4,1.86
2018-05-31,99.7,57.1407,26.98,250.792,4,1.86
2018-06-01,99.7,57.1407,27.04,251.018,3.96,1.9
2018-06-29,98.5641,56.2453,27.04,251.018,3.96,1.9
2018-07-01,98.5641,56.2453,27.09,251.214,3.87,1.96
2018-07-31,102.2541,57.8494,27.09,251.214,3.87,1.96
2018-08-01,102.2541,57.8494,27.2,251.663,3.88,2.03
2018-08-31,104.4684,56.556,27.2,251.663,3.88,2.03
2018-09-01,104.4684,56.556,27.32,252.182,3.98,2.13
2018-09-28,107.8418,57.1019,27.32,252.182,3.98,2.13
2018-10-01,107.8418,57.1019,27.37,252.772,4.14,2.25
2018-10-31,82.3238,52.4575,27.37,252.772,4.14,2.25
2018-11-01,82.3238,52.4575,27.44,252.594,4.22,2.33
2018-11-30,89.7562,52.7179,27.44,252.594,4.22,2.33
2018-12-01,89.7562,52.7179,27.55,252.767,4.02,2.37
2018-12-31,82.1002,49.8972,27.55,252.767,4.02,2.37
2019-01-01,82.1002,49.8972,27.59,252.561,3.93,2.37
2019-01-31,97.0872,53.2078,27.59,252.561,3.93,2.37
2019-02-01,97.0872,53.2078,27.71,253.319,3.79,2.39
2019-02-28,100.9429,54.5575,27.71,253.319,3.79,2.39
2019-03-01,100.9429,54.5575,27.8,254.277,3.77,2.4
2019-03-29,103.1133,55.0583,27.8,254.277,3.77,2.4
2019-04-01,103.1133,55.0583,27.78,255.233,3.69,2.38
2019-04-30,102.5067,56.6712,27.78,255.233,3.69,2.38
2019-05-01,102.5067,56.6712,27.86,255.296,3.67,2.35
2019-05-31,93.9128,53.819,27.86,255.296,3.67,2.35
2019-06-01,93.9128,53.819,27.95,255.213,3.42,2.17
2019-06-28,101.981,56.9998,27.95,255.213,3.42,2.17
2019-07-01,101.981,56.9998,28.02,255.802,3.29,2.1
2019-07-31,109.6278,55.8898,28.02,255.802,3.29,2.1
2019-08-01,109.6278,55.8898,28.13,256.036,2.98,1.95
2019-08-30,101.3873,54.8145,28.13,256.036,2.98,1.95
2019-09-01,101.3873,54.8145,28.17,256.43,3.03,1.89
2019-09-30,108.7858,56.5489,28.17,256.43,3.03,1.89
2019-10-01,108.7858,56.5489,28.23,257.155,3.01,1.65
2019-10-31,100.0408,58.4653,28.23,257.155,3.01,1.65
2019-11-01,100.0408,58.4653,28.35,257.879,3.06,1.54
2019-11-29,101.7628,59.1244,28.35,257.879,3.06,1.54
2019-12-01,101.7628,59.1244,28.37,258.63,3.01,1.54
2019-12-31,101.4524,60.8881,28.37,258.63,3.01,1.54
2020-01-01,101.4524,60.8881,28.44,258.906,2.94,1.52
2020-01-31,108.7866,59.1695,28.44,258.906,2.94,1.52
2020-02-01,108.7866,59.1695,28.55,259.246,2.78,1.52
2020-02-28,99.5484,54.5748,28.55,259.246,2.78,1.52
2020-03-01,99.5484,54.5748,28.77,258.15,3.02,0.29
2020-03-31,84.8475,46.8761,28.77,258.15,3.02,0.29
2020-04-01,84.8475,46.8761,30.01,256.126,2.43,0.14
2020-04-30,96.0376,49.6031,30.01,256.126,2.43,0.14
2020-05-01,96.0376,49.6031,29.72,255.848,2.5,0.13
2020-05-29,96.8173,52.295,29.72,255.848,2.5,0.13
2020-06-01,96.8173,52.295,29.38,257.004,2.44,0.16
2020-06-30,93.6159,54.1278,29.38,257.004,2.44,0.16
2020-07-01,93.6159,54.1278,29.38,258.408,2.14,0.13
2020-07-31,95.298,55.1771,29.38,258.408,2.14,0.13
2020-08-01,95.298,55.1771,29.48,259.366,2.25,0.1
2020-08-31,96.8316,57.7826,29.48,259.366,2.25,0.1
2020-09-01,96.8316,57.7826,29.51,259.951,2.31,0.11
2020-09-30,95.5438,56.5999,29.51,259.951,2.31,0.11
2020-10-01,95.5438,56.5999,29.54,260.249,2.35,0.1
2020-10-30,87.6832,54.5902,29.54,260.249,2.35,0.1
2020-11-01,87.6832,54.5902,29.63,260.895,2.3,0.09
2020-11-30,98.3651,62.38,29.63,260.895,2.3,0.09
2020-12-01,98.3651,62.38,29.9,262.005,2.26,0.09
2020-12-31,100.2444,65.5086,29.9,262.005,2.26,0.09
2021-01-01,100.2444,65.5086,29.93,262.518,2.45,0.08
2021-01-29,94.8532,64.9969,29.93,262.518,2.45,0.08
2021-02-01,94.8532,64.9969,30.06,263.583,2.7,0.04
2021-02-26,95.9742,66.4514,30.06,263.583,2.7,0.04
2021-03-01,95.9742,66.4514,30.06,264.91,3.04,0.03
2021-03-31,107.5382,68.1214,30.06,264.91,3.04,0.03
2021-04-01,107.5382,68.1214,30.21,266.752,2.9,0.02
2021-04-30,114.4944,70.1327,30.21,266.752,2.9,0.02
2021-05-01,114.4944,70.1327,30.39,268.452,2.96,0.02
2021-05-28,117.3031,72.5749,30.39,268.452,2.96,0.02
2021-06-01,117.3031,72.5749,30.54,270.664,2.79,0.04
2021-06-30,119.629,71.7897,30.54,270.664,2.79,0.04
2021-07-01,119.629,71.7897,30.65,271.994,2.57,0.05
2021-07-30,115.0344,72.3449,30.65,271.994,2.57,0.05
2021-08-01,115.0344,72.3449,30.77,272.789,2.55,0.05
2021-08-31,115.8582,73.3915,30.77,272.789,2.55,0.05
2021-09-01,115.8582,73.3915,30.95,273.887,2.53,0.04
2021-09-30,114.6942,70.9979,30.95,273.887,2.53,0.04
2021-10-01,114.6942,70.9979,31.15,276.434,2.68,0.05
2021-10-29,103.2768,73.255,31.15,276.434,2.68,0.05
2021-11-01,103.2768,73.255,31.24,278.799,2.62,0.05
2021-11-30,102.4915,69.9331,31.24,278.799,2.62,0.05
2021-12-01,102.4915,69.9331,31.4,280.808,2.65,0.06
2021-12-31,116.9856,73.0163,31.4,280.808,2.65,0.06
2022-01-01,116.9856,73.0163,31.63,282.39,2.93,0.15
2022-01-31,116.9069,70.3622,31.63,282.39,2.93,0.15
2022-02-01,116.9069,70.3622,31.65,284.535,3.25,0.33
2022-02-28,108.5437,67.9493,31.65,284.535,3.25,0.33
2022-03-01,108.5437,67.9493,31.84,287.553,3.43,0.44
2022-03-31,115.1975,68.302,31.84,287.553,3.43,0.44
2022-04-01,115.1975,68.302,31.95,288.764,3.76,0.76
2022-04-29,117.1378,63.699,31.95,288.764,3.76,0.76
2022-05-01,117.1378,63.699,32.08,291.359,4.13,0.98
2022-05-31,124.5218,64.9704,32.08,291.359,4.13,0.98
2022-06-01,124.5218,64.9704,32.2,294.996,4.24,1.49
2022-06-30,126.6294,59.3018,32.2,294.996,4.24,1.49
2022-07-01,126.6294,59.3018,32.33,294.977,4.06,2.23
2022-07-29,117.3019,62.367,32.33,294.977,4.06,2.23
2022-08-01,117.3019,62.367,32.44,295.209,4.07,2.63
2022-08-31,116.6714,58.5521,32.44,295.209,4.07,2.63
2022-09-01,116.6714,58.5521,32.54,296.341,4.59,3.13
2022-09-30,107.9154,53.1524,32.54,296.341,4.59,3.13
2022-10-01,107.9154,53.1524,32.7,297.863,5.1,3.72
2022-10-31,125.6091,56.2841,32.7,297.863,5.1,3.72
2022-11-01,125.6091,56.2841,32.83,298.648,4.9,4.15
2022-11-30,136.8705,63.6956,32.83,298.648,4.9,4.15
2022-12-01,136.8705,63.6956,32.94,298.812,4.43,4.25
2022-12-30,129.5076,62.5378,32.94,298.812,4.43,4.25
2023-01-01,129.5076,62.5378,33.07,300.356,4.4,4.54
2023-01-31,123.8453,68.1685,33.07,300.356,4.4,4.54
2023-02-01,123.8453,68.1685,33.15,301.509,4.56,4.65
2023-02-28,120.3202,66.0724,33.15,301.509,4.56,4.65
2023-03-01,120.3202,66.0724,33.31,301.744,4.6,4.69
2023-03-31,121.9859,68.1399,33.31,301.744,4.6,4.69
2023-04-01,121.9859,68.1399,33.44,303.032,4.47,4.92
2023-04-28,117.6309,70.1406,33.44,303.032,4.47,4.92
2023-05-01,117.6309,70.1406,33.54,303.365,4.67,5.14
2023-05-31,121.2988,67.3301,33.54,303.365,4.67,5.14
2023-06-01,121.2988,67.3301,33.7,304.003,4.65,5.16
2023-06-30,126.2228,70.3513,33.7,304.003,4.65,5.16
2023-07-01,126.2228,70.3513,33.84,304.628,4.66,5.25
2023-07-31,136.0048,72.2532,33.84,304.628,4.66,5.25
2023-08-01,136.0048,72.2532,33.91,306.187,4.95,5.3
2023-08-31,140.1181,69.4101,33.91,306.187,4.95,5.3
2023-09-01,140.1181,69.4101,34.01,307.288,5.13,5.32
2023-09-29,133.8866,66.8774,34.01,307.288,5.13,5.32
2023-10-01,133.8866,66.8774,34.1,307.531,5.61,5.34
2023-10-31,138.0282,64.9367,34.1,307.531,5.61,5.34
2023-11-01,138.0282,64.9367,34.23,308.024,5.28,5.27
2023-11-30,153.025,70.2737,34.23,308.024,5.28,5.27
2023-12-01,153.025,70.2737,34.34,308.742,4.74,5.24
2023-12-29,157.8409,74.0431,34.34,308.742,4.74,5.24
2024-01-01,157.8409,74.0431,34.51,309.685,4.87,5.22
2024-01-31,177.2489,73.709,34.51,309.685,4.87,5.22
2024-02-01,177.2489,73.709,34.56,311.054,5.03,5.24
2024-02-29,180.1789,75.9101,34.56,311.054,5.03,5.24
2024-03-01,180.1789,75.9101,34.69,312.23,5.01,5.24
2024-03-28,185.9534,78.4749,34.69,312.23,5.01,5.24
2024-04-01,185.9534,78.4749,34.75,313.207,5.28,5.24
2024-04-30,161.8426,75.9298,34.75,313.207,5.28,5.24
2024-05-01,161.8426,75.9298,34.88,313.225,5.25,5.25
2024-05-31,164.1074,79.772,34.88,313.225,5.25,5.25
2024-06-01,164.1074,79.772,34.99,313.049,5.13,5.24
2024-06-28,170.1072,78.33,34.99,313.049,5.13,5.24
2024-07-01,170.1072,78.33,35.07,313.534,5.12,5.2
2024-07-31,188.9817,80.36,35.07,313.534,5.12,5.2
2024-08-01,188.9817,80.36,35.22,314.121,4.87,5.05
2024-08-30,200.5417,82.98,35.22,314.121,4.87,5.05
2024-09-01,200.5417,82.98,35.33,314.686,4.68,4.72
2024-09-30,219.3428,83.63,35.33,314.686,4.68,4.72
2024-10-01,219.3428,83.63,35.46,315.454,4.95,4.51
2024-10-31,205.0957,79.22,35.46,315.454,4.95,4.51
2024-11-01,205.0957,79.22,35.46,315.454,5.14,4.42
2024-11-29,227.41,78.97,35.46,315.454,5.14,4.42
